,Name,style,IBU,ABV,Description
1367,The Catalyst,California Common,38,5.3,"In 1850, A German Immigrant named Antone Miller arrived by Steamboat in a booming little Gold Rush town built at the confluence of the American and Sacramento Rivers. Here he set out to build the Union Brewery - which would quickly grow to be one of the largest, most prolific breweries in the Region. Sadly, ten years later a fire claimed the brewery beyond repair. Lucky for us his famous Steam-beer recipe didn't burn up with it! On a history binge at the city archives one afternoon, we stumbled upon this historic recipe and set out to brew it once again. With a bright, earthy flavor from Sacramento native Cluster hops and a slightly sweet, nutty character from roasted barley, we think you'll love this little trip through history! Read Less"
1368,Steamy!,California Common,44,5.5,California Common
1369,Civil Common,California Common,33,5.0,California Common
1371,Common Ground California Common,California Common,30,6.0,"Common Ground is a beer born of friendship, and collaboration between two friends and two breweries. With a portion of the proceeds from this beer benefiting The Appalachian Mountain Bike Club and Pisgah Area SORBA, Common Ground was brewed to help preserve the land and trails we both love on two sides of a shared mountain range. A truly unique, 100% American Style Lager, the history of this style goes back well over a hundred years to the mid 1800’s. Brewed with TN barley, malted in North Carolina by River Bend Malt, Common Ground is a tawny colored, toasty, malted delight, with a fairly dry and crisp finish from rustic American hops. Read Less"
1372,John Adams,California Common,14,6.8,California Common
1374,Clifton Common,California Common,46,5.5,A unique Amber-La
1375,High Esteam,California Common,77,4.3,California Common
1376,An Hourglass Full of Hope,California Common,42,6.6,California Common
1381,Como Pica,Chilli / Chile Beer,7,5.8,Chilli / Chile Beer
1383,Jalapeno Cream Ale,Chilli / Chile Beer,15,5.7,Pals best-selling cream ale brings you the fresh aroma and flavor of ripe jalapeno peppers withou
1384,Chile Pepper Ale,Chilli / Chile Beer,25,6.3,Chilli / Chile Beer
1385,Shotgun Wedding,Chilli / Chile Beer,9,6.6,Raspb
1386,Que Picante,Chilli / Chile Beer,12,7.0,Chilli / Chile Beer
1389,Curse of the 7 Scorpions,Chilli / Chile Beer,35,7.6,"Hazy IPA hopped with Sultana, Calypso, and Bravo hops and aged on candied mango puree, Carolina Reaper, Scorpion, and 7 Pot Ka"
1391,Mango Habanero SMaSH,Chilli / Chile Beer,30,5.2,Our SMaSH Citra Pale Ale with Mango a
1392,Heisenberg Green Chili Pale,Chilli / Chile Beer,32,5.7,Chilli / Chile Beer
1393,Hatch Chile Gatos,Chilli / Chile Beer,23,4.5,"Oh my Gatos Golden Ale with the addition of roasted Hatch Chiles. Huge chile aroma, mild flavor and a little heat on th"
1394,Lunas,Chilli / Chile Beer,28,7.1,Chilli / Chile Beer
1396,Devil Went Down To Pueblo,Chilli / Chile Beer,17,4.8,Chilli / Chile Beer
1398,Chile Gordo,Chilli / Chile Beer,37,8.0,Chilli / Chile Beer
1399,Killer Bees,Chilli / Chile Beer,8,4.7,Jalapeño infused blonde ale with peppery aromas and mild s
1401,Green Chile Ale,Chilli / Chile Beer,24,5.5,Chilli / Chile Beer
1402,Chocolate Chili Stout (2016),Chilli / Chile Beer,50,8.8,This brooding and intense version of our imperial stout is “dry hopped” with dried chilies and TCHO cocoa nibs making it the most complex and robust beers we have ever brewed. Read Less
1403,Hatch Green Chile Tio Oso's Mexican Lager,Chilli / Chile Beer,12,4.8,Chilli / Chile Beer
1404,Little Salmon Fire Pepper Ale,Chilli / Chile Beer,18,5.3,"A light Cream Ale With poblano, serrano and habane"
1406,Jalapeño Jack,Chilli / Chile Beer,41,6.0,Chilli / Chile Beer
1408,Mico,Chilli / Chile Beer,15,6.1,"Originally brewed in collaboration with Factotum Brewhouse (CO), we added Hatch Chiles to a classic cream ale full of Hatch aroma and m"
1409,Spicy Southern Belle Peach Habanero,Chilli / Chile Beer,85,6.1,Chilli / Chile Beer
1410,Chill Chaser Stout,Chilli / Chile Beer,40,6.25,Chilli / Chile Beer
1413,Saint Nickel's Spicy Pickle,Chilli / Chile Beer,21,4.5,Saint Nickel's Pickle- Spicy Pickle variant brewed with cay
1414,Down The Hatch Green Chile Ale,Chilli / Chile Beer,20,6.7,Chilli / Chile Beer
1415,Serrano Pale,Chilli / Chile Beer,45,5.62,"This beer captures the flavor and the mild heat of roasted estate-grown serrano peppers for a unique twist on the style. The chilies offer floral and fruity aromas, which complement the bright citrus notes of American hops. Read Less"
1416,Down the Hatch,Chilli / Chile Beer,32,6.0,Chilli / Chile Beer
1417,Chiltepin Red,Chilli / Chile Beer,16,6.2,Chilli / Chile Beer
1419,Apricot Habanero,Chilli / Chile Beer,22,5.2,Chilli / Chile Beer
1420,The Contender IPA With Chiles,Chilli / Chile Beer,68,6.5,Chilli / Chile Beer
1421,Chili Buzz,Chilli / Chile Beer,12,5.2,Chilli / Chile Beer
1426,Blue Corn Lager Con Chiles,Chilli / Chile Beer,21,5.9,Chilli / Chile Beer
1478,Pomme,Cider - Graff,10,7.6,"A rustic autumn farmhouse ale aged in oak for 18 months then refermented on a blend of three different cider apples from Detering Orchards, this dark golden-colored beer is bursting with fresh apple aromas and hints of baking spice beneath. Mild acidity quenches the palate and rounds out the juicy apple impact of this French cider-inspired hybrid ale. Read Less"
1486,Look At This Graff!!!,Cider - Graff,25,7.0,Belgian Golden Strong with Apple Must added refermented with brettanomyces and aged on second use vanilla and ap
1488,The Beam Graf In-World Ale,Cider - Graff,12,9.0,Cider - Graff
1494,Newton's Graff Apple Ale,Cider - Graff,10,5.0,Cider - Graff
1495,Mordroc's Castle,Cider - Graff,20,6.7,Cider - Graff
1501,Owl Scrooge – Holiday Chai-der Ale,Cider - Graff,25,8.8,Cider - Graff
1506,Lemon Cherry Giraffe,Cider - Graff,10,5.6,Cider - Graff
1507,Fippenny Apple Graff,Cider - Graff,6,7.4,Cider - Graff
1508,Snakebite,Other,7,6.9,"We co-fermented
our citrus blonde ale with fresh crisp apple juice from the Pacific Northwest, fermented it dry with Saison yeast, and topped it off with a Cascade dry hop. We promise this beer is like nothing you've tried before. Cheers! Read Less"
1510,Apple Graff,Cider - Graff,12,5.7,Cider - Graff
1691,No. 139 Dry Rosé Cider,Cider - Rosé,10,6.9,Cider - Rosé
1729,Carpé Rosé,Cider - Rosé,10,5.5,Cider - Rosé
1827,Mango,Cider - Traditional / Apfelwein,9,5.0,Cider - Traditional / Apfelwein
1840,Wari,Corn Beer / Chicha de Jora,3,3.8,Chicha inspired ale brewed with the Fi
1843,Castaña Urbana,Corn Beer / Chicha de Jora,25,5.1,Corn Beer / Chicha de Jora
1847,Chicha,Corn Beer / Chicha de Jora,4,3.1,"Spit happens - and when it does, you brew Chicha. An ancient Peruvian beer brewed with corn that’s chewed up and spit out, Chicha is one of our most talked about brewing creations.

So what exactly is Chicha? In Peru, small communities produce it from masticated maize, naturally fermented in large clay pots and often flavored with indigenous fruit and spices. Here at Dogfish Head, we reproduced the ancient beer by creating Chicha from co- worker masticated purple Peruvian corn, malted corn and malted barley. The wort is then boiled for full sterilization, chilled and blended with strawberries. Fermented with a unique blend of yeast strains, Chicha clocks in at 3.1% ABV with fruity, spicy aromas and a dry finish.

We've been brewing this ancient beverage since 2009 and this year, we enlisted the help of 100+ co-workers to prepare the beer's main ingredient - masticated purple maize ... and for the first time, we released 200 (750ml) bottles of this one-of-a-kind brew exclusively at our Milton Tasting Room & Kitchen on Saturday, March 10, 2018. Read Less"
1848,Blue Corn Maiden Cream Ale,Corn Beer / Chicha de Jora,20,4.5,Corn Beer / Chicha de Jora
1849,Sweet Corn Summer Ale,Cream Ale,31,5.1,Cream Ale
1850,Café Y' Churro,Cream Ale,20,12.0,Cream Ale
1851,St Kitts Coffee,Cream Ale,20,12.0,Cream Ale
1852,Regular Coffee,Cream Ale,26,12.0,Cream Ale
1853,Nitro Regular Coffee,Cream Ale,20,12.0,Cream Ale
1854,Irish Coffee,Cream Ale,20,12.0,Cream Ale
1857,SS-C.R.E.A.M.,Cream Ale,70,8.4,Cream Ale
1858,Kaffee Und Kuchen,Cream Ale,20,12.0,Cream Ale
1865,Toasted Coconut Kareem Ale,Cream Ale,10,6.5,Cream Ale
1867,Caffé Corretto,Cream Ale,20,12.0,Cream Ale
1869,Basic Coffee,Cream Ale,20,8.0,Cream Ale
1871,Double Bean Dream,Cream Ale,17,5.1,Cream Ale With Vanilla
1872,Abstract Opulence: Illusion 1,Cream Ale,27,14.0,Cream Ale
1873,Rum Barrel-Aged Piña Colada,Cream Ale,20,13.0,Cream Ale
1877,Sunset Crush,Cream Ale,15,5.8,Cream Ale
1879,All the Breakfast,Cream Ale,25,9.0,Cream Ale
1883,Coffee & Pavlova,Cream Ale,20,12.0,Cream Ale
1886,Abstract Opulence: Illusion 2,Cream Ale,27,15.0,Cream Ale
1890,Cafe Revolver,Cream Ale,20,12.0,Cream Ale
1892,Mexican Coffee,Cream Ale,20,12.0,Cream Ale
1894,Abbott’s Vanilla Almond Custard Cream Ale,Cream Ale,10,6.5,Cream Ale
1896,Maryland Roast,Cream Ale,10,9.0,Imperial coffe
1897,Snickerdoodle Custard Cream Ale,Cream Ale,10,6.5,"Like drinking your favorite holiday cookie! Enjoy our take on the classic snickerdoodle cookie, with just a hint of cinnamon. Contains m"
1903,Dampfbier,Dampfbier,22,4.8,Dampfbier
1905,Dampf,Dampfbier,10,5.5,Dampfbier
1906,Wornerweiss Dampfbier,Dampfbier,15,5.4,Dampfbier
1908,Feral Dampf,Dampfbier,42,5.7,Dampfbier
1909,Steambreather,Dampfbier,20,4.7,"This German style steam beer features a strong yeast flavor component of banana and clove with a spicy, wood, and earth hop"
1910,Sublimation,Dampfbier,42,5.6,Dampfbier made with 100% barely malt and hopped with Gl
1916,Kilauea Crater Dampfbier,Dampfbier,18,5.1,Filtered amber with Bavarian yeast modeled on beer from the Bavaria region 
1917,Frankly My Dear I Don’t Give A Dampf,Dampfbier,20,5.7,Golden da
1918,Steam Whistle Dampfbier,Dampfbier,24,4.6,Dampfbier
1920,The Dampf'd,Dampfbier,22,5.3,Dampfbier
1921,Shine,Dampfbier,14,5.0,"Light Barley Ale Fermented With Wiessen Yeast. Sweet, Light Bodied With Low "
1923,Hopfen Dampf,Dampfbier,30,5.3,Dampfbier
1925,Porch Swing,Dampfbier,13,5.1,"An all barley ale, fermented with Weissbier yeast. Medium bodied, lightly hopped & brewed in "
1932,Rising Sun,Dampfbier,17,5.7,Dampfbier
1934,Barrel Aged Gavel Slammer,Dark Ale,65,17.4,Dark Ale
1935,Trip in the Woods: Maillard's Odyssey,Dark Ale,40,9.3,"Velvety smooth and indulgent, Barrel-Aged Maillard’s Odyssey is the bourbon-barrel-aged version of our Beer Camp Across America collaboration with Bell’s Brewery. This Imperial Dark Ale is a perfect balance of vanilla, caramel, and toasty malt flavors with a nose full of barrel—a decadent sipper of a beer. Read Less"
1936,Gavel Slammer 17.4% Monumental Dark Ale,Dark Ale,65,17.4,Dark Ale
1938,Gavel Slammer Monumental Dark Ale (2018),Dark Ale,65,17.4,"An over-the-top ale like no other, with a gavel-slammin' flavor profile - rich, aromatic, lively and dark. Going light years over the top of Ohio's old beer/alcohol limit, Gavel Slammer is brewed to celebrate Hoppin' Frog putting the hammer down for freedom in brewing Ohio's beer! Because of our efforts, on August 26th, 2016 we were presented the actual gavel used in the final Senate session that removed Ohio's alcohol limit on beer! We did our little part, and we're proud of this recognition, and our freedom. Read Less"
1941,Coconut Kiloton,Dark Ale,28,12.1,Dark Ale
1950,Gobias,Dark Ale,18,8.0,Black ale brewed w
1959,Mushhushshu,Dark Ale,15,11.6,Dark Ale
1963,Paid Time Off!,Dark Ale,13,10.0,"Imperial black wheat ale brewed with toasted coconut, cocoa nibs, a"
1967,Big Kahuna,Dark Ale,59,10.4,Dark Ale
1969,Dawn Juan,Dark Ale,30,9.0,"Coffee infused strong black ale has robust coffee aroma and is met with dark chocolate, hints of black cherry, and roasted malt"
1972,Candy Bar Kiloton,Dark Ale,28,12.1,Dark Ale
1998,Bitter Bollocks,English Bitter,30,5.0,An English Bitter that is sessionable and malt-driven. Expect a clean and malt-forward beer that has a traditional Engl
2003,AK Ordinary Bitter,English Bitter,35,4.1,English Bitter
2005,Dithering Bitter,English Bitter,35,4.1,English Bitter
2008,Royal Quaff,English Bitter,50,5.4,English Bitter
2009,Flag Nor Fail,English Bitter,31,4.7,English Bitter
2010,Lyon Pride,English Bitter,37,6.1,English Bitter
2014,Nigel Tufnel,English Bitter,24,5.2,English Bitter
2020,Boys Bitter,English Bitter,38,4.7,English Bitter
2021,Eton Rifle,English Bitter,37,6.0,English Bitter
2022,Dillon's DD ESB,English Bitter,44,5.2,English Bitter
2025,Eastside Special Bitter,English Bitter,42,5.1,English Bitter
2026,Nerd Immunity,English Bitter,45,4.6,English Bitter
2030,C.S.B.,English Bitter,45,5.0,English Bitter
2031,Bergamot Special Bitter,English Bitter,20,5.1,"English style golden ale with very light bitterness, brewed with lemon peel and then cold conditioned on Townshend's Earl Grey "
2032,Afternoonified,English Bitter,38,3.2,Classic ordinary English bitter. Fermented with English yeast and hopped with east kent G
2034,Double DBA,Extra Special / Strong Bitter,29,12.0,DDBA is our flagship beer brewed at double strength. It is amazingly similar in many respects to our barrel fermented DBA and possesses everything we love about that beer times two. English caramel malts lend rich toffee character that pairs well with assertive medium toast American oak barrels. Read Less
2035,The Specialist,Extra Special / Strong Bitter,44,10.0,Extra Special / Strong Bitter
2037,20 Year Storm,Extra Special / Strong Bitter,40,10.3,Extra Special / Strong Bitter
2040,Especially Special,Extra Special / Strong Bitter,30,5.1,Extra Special / Strong Bitter
2041,The Dog with a Clog,Extra Special / Strong Bitter,37,6.9,Extra Special / Strong Bitter
2049,Double Disco (2016),Extra Special / Strong Bitter,70,8.0,"An Imperial ESB. Rich and complex, with malt and hop usage bordering on excessive, yet dancing in perfect harmony. This ruby red ale highlights chewy caramel malts and spicy hops for fresh, lively aromas and flavors. Read Less"
2050,Bitter Geezer,Extra Special / Strong Bitter,40,5.5,Extra Special / Strong Bitter
2051,Double Disco (2017),Extra Special / Strong Bitter,73,8.4,"An Imperial ESB. Rich and complex, with malt and hop usage bordering on excessive, yet dancing in perfect harmony. This ruby red ale highlights chewy caramel malts and spicy hops for fresh, lively aromas and flavors. This 2017 version includes and extra dose of dry hopping using Citra hops. Read Less"
2054,Nurse Betty's Bitters,Extra Special / Strong Bitter,30,5.2,Extra Special / Strong Bitter
2055,BBA Tavern Ale,Extra Special / Strong Bitter,40,7.0,Bourbon bbl aged
2059,Double Disco (2018),Extra Special / Strong Bitter,80,9.5,"An Imperial ESB. Rich and complex, with malt and hop usage bordering on excessive, yet dancing in perfect harmony. This ruby red ale highlights chewy caramel malts and spicy hops for fresh, lively aromas and flavors. This 2018 version includes an extra ""double"" dose of dry hopping using Mosaic hops! Read Less"
2062,Moderance,Extra Special / Strong Bitter,40,5.4,Extra Special / Strong Bitter
2063,Lord Rear Admiral,Extra Special / Strong Bitter,55,6.5,Extra Special / Strong Bitter
2064,Ravenhold,Extra Special / Strong Bitter,45,5.0,Extra Special / Strong Bitter
2069,Bitter Recognize,Extra Special / Strong Bitter,46,6.7,Extra Special / Strong Bitter
2071,Brewers Droop Oak Aged ESB,Extra Special / Strong Bitter,30,5.5,Extra Special / Strong Bitter
2072,Mongers ESB,Extra Special / Strong Bitter,30,5.5,Extra Special / Strong Bitter
2073,Bourbon Barrel Aged Double ESB,Extra Special / Strong Bitter,78,13.2,"Malt: 2-Row Pale Ale, Crystal and Chocolate
Hops: Progress, Challenger and Goldings
Yeast: Top-fermenting English
Color: Tawny, burnt orange. Fined, but not filtered.
Aroma: Raisins, whisky, nuts
Body: Elegant, silky
Finish: Warming, vanilla, charcoal and lingering
Read Less"
2077,Bridgeview,Extra Special / Strong Bitter,42,5.6,Extra Special / Strong Bitter
2078,Richard Cranium,Extra Special / Strong Bitter,26,5.1,Extra Special / Strong Bitter
2079,Chin Wag,Extra Special / Strong Bitter,38,5.8,Extra Special / Strong Bitter
2081,Early To Rise,Extra Special / Strong Bitter,26,5.3,Extra Special / Strong Bitter
2082,Extra StormBreaker,Extra Special / Strong Bitter,46,5.8,World Beer Cup 2022 Gold M
2083,Extra Special Beer (ESB),Extra Special / Strong Bitter,16,5.4,Extra Special / Strong Bitter
2086,Bière De Coupage,Farmhouse Ale - Bière de Coupage,27,6.3,Blended farmhouse al
2087,Biere De Coupage,Farmhouse Ale - Bière de Coupage,18,6.0,Farmhouse Ale - Bière de Coupage
2095,Biere De Coupage,Farmhouse Ale - Bière de Coupage,30,6.0,A 50/50 blend of double dry hopped saison and 2 year old sour be
2100,Das Wunderkind! (Blend 24),Farmhouse Ale - Bière de Coupage,10,4.5,Farmhouse Ale - Bière de Coupage
2102,Blossoming,Farmhouse Ale - Bière de Coupage,13,5.6,Farmhouse Ale - Bière de Coupage
2107,Reposé,Farmhouse Ale - Bière de Garde,12,8.3,Farmhouse Ale - Bière de Garde
2118,Maillot Noir,Farmhouse Ale - Bière de Garde,40,8.5,Sour/Oak Aged Biere de Garde with Black R
